Rank,Player,Position,School,PFF Grade,Analysis
1,Fernando Mendoza,QB,Indiana,91.6,
2,Rueben Bain Jr.,ED,Miami (FL),92.8,
3,Arvell Reese,LB,Ohio State,76.4,
4,David Bailey,ED,Texas Tech,93.3,
5,Caleb Downs,S,Ohio State,87.6,
6,Jeremiyah Love,HB,Notre Dame,93.1,
7,Jordyn Tyson,WR,Arizona State,82.9,
8,Carnell Tate,WR,Ohio State,88.6,
9,Sonny Styles,LB,Ohio State,88.5,
10,Makai Lemon,WR,USC,90.8,
11,Jermod McCoy,CB,Tennessee,,
12,Francis Mauigoa,T,Miami (FL),82.6,
13,Mansoor Delane,CB,LSU,90.5,
14,Peter Woods,DI,Clemson,72.2,
15,Cashius Howell,ED,Texas A&M,81.2,
16,Keldric Faulk,ED,Auburn,75.8,
17,Caleb Banks,DI,Florida,68.8,
18,Spencer Fano,T,Utah,84.0,
19,Avieon Terrell,CB,Clemson,83.5,
20,Denzel Boston,WR,Washington,88.0,
21,Kayden McDonald,DI,Ohio State,86.5,
22,Olaivavega Ioane,G,Penn State,80.0,
23,T.J. Parker,ED,Clemson,80.7,
24,Kenyon Sadiq,TE,Oregon,70.4,
25,Kadyn Proctor,T,Alabama,86.1,
26,KC Concepcion,WR,Texas A&M,78.4,
27,Caleb Lomu,T,Utah,68.4,
28,CJ Allen,LB,Georgia,76.0,
29,Christen Miller,DI,Georgia,84.5,
30,Monroe Freeling,T,Georgia,72.1,
31,Brandon Cisse,CB,South Carolina,75.2,
32,Akheem Mesidor,ED,Miami (FL),92.5,
33,Ty Simpson,QB,Alabama,83.1,
34,Emmanuel McNeil-Warren,S,Toledo,91.9,
35,Keith Abney II,CB,Arizona State,86.3,
36,Chris Bell,WR,Louisville,81.8,
37,R Mason Thomas,ED,Oklahoma,85.3,
38,Dillon Thieneman,S,Oregon,91.0,
39,Anthony Hill Jr.,LB,Texas,72.8,
40,Gabe Jacas,ED,Illinois,78.3,
41,Germie Bernard,WR,Alabama,71.9,
42,A.J. Haulcy,S,LSU,86.6,
43,Emmanuel Pregnon,G,Oregon,86.7,
44,Eli Stowers,TE,Vanderbilt,81.6,
45,Zion Young,ED,Missouri,85.0,
46,Deontae Lawson,LB,Alabama,77.6,
47,Colton Hood,CB,Tennessee,79.2,
48,LT Overton,ED,Alabama,64.2,
49,Lee Hunter,DI,Texas Tech,80.9,
50,Keionte Scott,CB,Miami (FL),89.6,
51,Romello Height,ED,Texas Tech,92.5,
52,D'Angelo Ponds,CB,Indiana,89.9,
53,Caleb Tiernan,T,Northwestern,70.5,
54,Dontay Corleone,DI,Cincinnati,72.6,
55,Chris Johnson,CB,San Diego State,91.6,
56,Jake Golday,LB,Cincinnati,82.4,
57,Omar Cooper Jr.,WR,Indiana,87.4,
58,Derrick Moore,ED,Michigan,89.9,
59,Jadarian Price,HB,Notre Dame,78.6,
60,Josiah Trotter,LB,Missouri,73.0,
61,Joshua Josephs,ED,Tennessee,87.1,
62,Kamari Ramsey,S,USC,72.6,
63,Max Iheanachor,T,Arizona State,72.5,
64,Connor Lew,C,Auburn,67.6,
65,Domonique Orange,DI,Iowa State,68.3,
66,Elijah Sarratt,WR,Indiana,86.1,
67,Trinidad Chambliss,QB,Mississippi,87.8,
68,Chandler Rivers,CB,Duke,79.2,
69,Anthony Lucas,ED,USC,71.4,
70,Max Klare,TE,Ohio State,69.3,
71,Jack Endries,TE,Texas,68.5,
72,Daylen Everette,CB,Georgia,69.7,
73,CJ Daniels,WR,Miami (FL),73.3,
74,Michael Trigg,TE,Baylor,72.4,
75,Chris Brazzell II,WR,Tennessee,79.4,
76,Jake Slaughter,C,Florida,79.3,
77,Blake Miller,T,Clemson,78.5,
78,Jonah Coleman,HB,Washington,82.1,
79,Skyler Bell,WR,Connecticut,81.6,
80,Taurean York,LB,Texas A&M,83.7,
81,Garrett Nussmeier,QB,LSU,77.1,
82,Emmett Johnson,HB,Nebraska,85.6,
83,Gennings Dunker,T,Iowa,82.0,
84,Zachariah Branch,WR,Georgia,82.0,
85,Darrell Jackson Jr.,DI,Florida State,74.4,
86,Justin Joly,TE,North Carolina State,77.9,
87,Deion Burks,WR,Oklahoma,64.1,
88,Chase Bisontis,G,Texas A&M,62.4,
89,Dani Dennis-Sutton,ED,Penn State,80.1,
90,Jacob Rodriguez,LB,Texas Tech,93.0,
91,Carson Beck,QB,Miami (FL),73.6,
92,Zakee Wheatley,S,Penn State,85.9,
93,Sam Hecht,C,Kansas State,80.0,
94,Antonio Williams,WR,Clemson,80.3,
95,Seth McGowan,HB,Kentucky,70.1,
96,Mikail Kamara,ED,Indiana,71.9,
97,Malachi Fields,WR,Notre Dame,75.8,
98,Tyreak Sapp,ED,Florida,65.0,
